2026-04-25 18:49:09.133 [info] [McpGatewayService] Initialized
2026-04-25 18:49:39.120 [info] [McpGateway][Channel] Client disconnected: window:36, cleaning up gateways
2026-04-25 18:49:41.317 [info] [McpGateway][Channel] Client disconnected: window:35, cleaning up gateways
2026-04-25 18:49:42.283 [info] [McpGateway][Channel] Client disconnected: window:34, cleaning up gateways
2026-04-25 18:49:42.485 [info] [McpGateway][Channel] Client disconnected: window:33, cleaning up gateways
2026-04-25 18:49:42.791 [info] [McpGateway][Channel] Client disconnected: window:32, cleaning up gateways
2026-04-25 18:49:43.005 [info] [McpGateway][Channel] Client disconnected: window:31, cleaning up gateways
2026-04-25 18:49:43.199 [info] [McpGateway][Channel] Client disconnected: window:30, cleaning up gateways
2026-04-25 18:49:43.313 [info] [McpGateway][Channel] Client disconnected: window:29, cleaning up gateways
2026-04-25 18:49:43.546 [info] [McpGateway][Channel] Client disconnected: window:28, cleaning up gateways
2026-04-25 18:49:43.765 [info] [McpGateway][Channel] Client disconnected: window:27, cleaning up gateways
2026-04-25 18:49:43.908 [info] [McpGateway][Channel] Client disconnected: window:26, cleaning up gateways
2026-04-25 18:49:44.077 [info] [McpGateway][Channel] Client disconnected: window:25, cleaning up gateways
2026-04-25 18:49:44.226 [info] [McpGateway][Channel] Client disconnected: window:24, cleaning up gateways
2026-04-25 18:49:44.374 [info] [McpGateway][Channel] Client disconnected: window:23, cleaning up gateways
2026-04-25 18:49:44.539 [info] [McpGateway][Channel] Client disconnected: window:22, cleaning up gateways
2026-04-25 18:49:44.693 [info] [McpGateway][Channel] Client disconnected: window:21, cleaning up gateways
2026-04-25 18:49:44.854 [info] [McpGateway][Channel] Client disconnected: window:20, cleaning up gateways
2026-04-25 18:49:45.068 [info] [McpGateway][Channel] Client disconnected: window:19, cleaning up gateways
2026-04-25 18:49:45.268 [info] [McpGateway][Channel] Client disconnected: window:18, cleaning up gateways
2026-04-25 18:49:45.345 [info] [McpGateway][Channel] Client disconnected: window:17, cleaning up gateways
2026-04-25 18:49:45.434 [info] [McpGateway][Channel] Client disconnected: window:16, cleaning up gateways
2026-04-25 18:49:45.493 [info] [McpGateway][Channel] Client disconnected: window:8, cleaning up gateways
2026-04-25 18:49:45.558 [info] [McpGateway][Channel] Client disconnected: window:7, cleaning up gateways
2026-04-25 18:49:45.622 [info] [McpGateway][Channel] Client disconnected: window:6, cleaning up gateways
2026-04-25 18:49:45.737 [info] [McpGateway][Channel] Client disconnected: window:5, cleaning up gateways
2026-04-25 18:49:45.811 [info] [McpGateway][Channel] Client disconnected: window:4, cleaning up gateways
2026-04-25 18:49:45.868 [info] [McpGateway][Channel] Client disconnected: window:3, cleaning up gateways
2026-04-25 18:49:45.923 [info] [McpGateway][Channel] Client disconnected: window:2, cleaning up gateways
2026-04-25 18:49:45.983 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-04-25 18:49:46.033 [info] [McpGateway][Channel] Client disconnected: window:14, cleaning up gateways
2026-04-25 18:49:46.091 [info] [McpGateway][Channel] Client disconnected: window:13, cleaning up gateways
2026-04-25 18:49:46.209 [info] [McpGateway][Channel] Client disconnected: window:12, cleaning up gateways
2026-04-25 18:49:46.292 [info] [McpGateway][Channel] Client disconnected: window:15, cleaning up gateways
2026-04-25 18:49:46.353 [info] [McpGateway][Channel] Client disconnected: window:11, cleaning up gateways
2026-04-25 18:49:46.408 [info] [McpGateway][Channel] Client disconnected: window:10, cleaning up gateways
2026-04-25 18:49:46.512 [info] [McpGateway][Channel] Client disconnected: window:9, cleaning up gateways
