2026-05-04 15:31:17.462 [info] Reading sessions from keychain...
2026-05-04 15:31:17.462 [info] Getting sessions for all scopes...
2026-05-04 15:31:17.576 [info] Got stored sessions!
2026-05-04 15:31:17.576 [info] Got 2 verified sessions.
2026-05-04 15:31:17.576 [info] Got 2 sessions for ...
2026-05-04 15:31:17.670 [info] Getting sessions for all scopes...
2026-05-04 15:31:17.670 [info] Got 2 sessions for ...
2026-05-04 15:31:17.732 [info] Getting sessions for all scopes...
2026-05-04 15:31:17.732 [info] Got 2 sessions for ...
2026-05-04 15:31:19.400 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.400 [info] Got 2 sessions for ...
2026-05-04 15:31:19.418 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.418 [info] Got 2 sessions for ...
2026-05-04 15:31:19.422 [info] Getting sessions for user:email...
2026-05-04 15:31:19.422 [info] Got 1 sessions for user:email...
2026-05-04 15:31:19.433 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.433 [info] Got 2 sessions for ...
2026-05-04 15:31:19.649 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.649 [info] Got 2 sessions for ...
2026-05-04 15:31:19.654 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.654 [info] Got 2 sessions for ...
2026-05-04 15:31:19.669 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.670 [info] Got 2 sessions for ...
2026-05-04 15:31:19.899 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.899 [info] Got 2 sessions for ...
2026-05-04 15:31:19.899 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.899 [info] Got 2 sessions for ...
2026-05-04 15:31:19.973 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.973 [info] Got 2 sessions for ...
2026-05-04 15:31:19.974 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.974 [info] Got 2 sessions for ...
2026-05-04 15:31:19.974 [info] Getting sessions for all scopes...
2026-05-04 15:31:19.974 [info] Got 2 sessions for ...
2026-05-04 15:31:19.974 [info] Getting sessions for project,read:org,read:user,repo,user:email,workflow...
2026-05-04 15:31:19.974 [info] Got 0 sessions for project,read:org,read:user,repo,user:email,workflow...
2026-05-04 15:31:20.435 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:20.435 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:20.435 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:20.435 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:20.718 [info] Getting sessions for user:email...
2026-05-04 15:31:20.718 [info] Got 1 sessions for user:email...
2026-05-04 15:31:21.039 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.039 [info] Got 2 sessions for ...
2026-05-04 15:31:21.039 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.039 [info] Got 2 sessions for ...
2026-05-04 15:31:21.040 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.040 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.173 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.173 [info] Got 2 sessions for ...
2026-05-04 15:31:21.174 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.174 [info] Got 2 sessions for ...
2026-05-04 15:31:21.193 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.193 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.229 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.229 [info] Got 2 sessions for ...
2026-05-04 15:31:21.230 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.230 [info] Got 2 sessions for ...
2026-05-04 15:31:21.341 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.341 [info] Got 2 sessions for ...
2026-05-04 15:31:21.344 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.344 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.531 [info] Getting sessions for all scopes...
2026-05-04 15:31:21.531 [info] Got 2 sessions for ...
2026-05-04 15:31:21.533 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:21.533 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-04 15:31:59.594 [info] Getting sessions for all scopes...
2026-05-04 15:31:59.594 [info] Got 2 sessions for ...
2026-05-04 15:31:59.596 [info] Getting sessions for all scopes...
2026-05-04 15:31:59.596 [info] Got 2 sessions for ...
2026-05-04 15:32:00.484 [info] Getting sessions for all scopes...
2026-05-04 15:32:00.484 [info] Got 2 sessions for ...
2026-05-04 15:32:00.485 [info] Getting sessions for all scopes...
2026-05-04 15:32:00.485 [info] Got 2 sessions for ...
2026-05-04 15:32:05.122 [info] Getting sessions for all scopes...
2026-05-04 15:32:05.123 [info] Got 2 sessions for ...
2026-05-04 15:32:05.124 [info] Getting sessions for all scopes...
2026-05-04 15:32:05.124 [info] Got 2 sessions for ...
2026-05-04 15:32:05.713 [info] Getting sessions for all scopes...
2026-05-04 15:32:05.713 [info] Got 2 sessions for ...
2026-05-04 15:32:05.714 [info] Getting sessions for all scopes...
2026-05-04 15:32:05.714 [info] Got 2 sessions for ...
2026-05-04 15:32:12.398 [info] Getting sessions for all scopes...
2026-05-04 15:32:12.398 [info] Got 2 sessions for ...
2026-05-04 15:32:12.400 [info] Getting sessions for all scopes...
2026-05-04 15:32:12.400 [info] Got 2 sessions for ...
2026-05-04 15:32:25.391 [info] Getting sessions for all scopes...
2026-05-04 15:32:25.391 [info] Got 2 sessions for ...
2026-05-04 15:32:25.392 [info] Getting sessions for all scopes...
2026-05-04 15:32:25.392 [info] Got 2 sessions for ...
2026-05-04 15:32:25.781 [info] Getting sessions for all scopes...
2026-05-04 15:32:25.781 [info] Got 2 sessions for ...
2026-05-04 15:32:25.782 [info] Getting sessions for all scopes...
2026-05-04 15:32:25.782 [info] Got 2 sessions for ...
2026-05-04 15:32:28.222 [info] Getting sessions for all scopes...
2026-05-04 15:32:28.222 [info] Got 2 sessions for ...
2026-05-04 15:32:28.223 [info] Getting sessions for all scopes...
2026-05-04 15:32:28.223 [info] Got 2 sessions for ...
2026-05-04 15:32:30.729 [info] Getting sessions for all scopes...
2026-05-04 15:32:30.729 [info] Got 2 sessions for ...
2026-05-04 15:32:30.730 [info] Getting sessions for all scopes...
2026-05-04 15:32:30.730 [info] Got 2 sessions for ...
